,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"週間献立表",,,,,,,,,,,,,,,,,,,,,,
,"平成26年6月29日(日)～平成26年7月5日(土)",,,,,,,,,,,,,,,,,,,,,,
,"区分","6/29(日)",,,"6/30(月)",,,"7/1(火)",,,"7/2(水)",,,"7/3(木)",,,"7/4(金)",,,"7/5(土)",,," "
,"朝食","味噌汁",,"62KC","味噌汁",,"41KC","食パン",,"407KC","味噌汁",,"27KC","味噌汁",,"59KC","ロールパン",,"280KC","豚汁",,"88KC"," "
,,"牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","オムレツ",,"97KC","牛乳",,"134KC"," "
,,"目玉焼き",,"86KC","納豆",,"80KC","スクランブルエッグ",,"99KC","ししゃも",,"50KC","五目ひじき",,"123KC","荒挽ウインナー",,"96KC","コーンクリームフライ",,"138KC"," "
,,"じゃがいもの豚そぼろ煮",,"137KC","野菜ソテー",,"94KC","味付け肉団子",,"114KC","いり豆腐",,"137KC","鮭甘塩焼",,"80KC","ベーコンと野菜のスープ",,"96KC","納豆",,"80KC"," "
,,"ふりかけ",,"15KC","荒挽ウインナー",,"96KC","サラダ",,"12KC","のり佃煮",,"14KC","ふりかけ",,"15KC","ご飯",,"249KC","味付のり",,"14KC"," "
,,"漬物",,"1KC","味付のり",,"14KC","ワンタンスープ",,"74KC","漬物",,"1KC","漬物",,"1KC"," ",,,"漬物",,"1KC"," "
,,"ご飯",,"427KC","ご飯",,"427KC",,,,"ご飯",,"427KC","ご飯",,"427KC"," ",,,"ご飯",,"427KC"," "
,,"863KC た30 脂22 炭131 塩3.4",,,"886KC た35 脂27 炭125 塩3.4",,,"839KC た33 脂37 炭93 塩4.9",,,"791KC た34 脂20 炭117 塩3.2",,,"840KC た33 脂20 炭130 塩4.9",,,"818KC た25 脂32 炭104 塩3.4",,,"883KC た32 脂26 炭129 塩2.4",,," "
,,,,,,,,,,,,,,,,,"七夕メニュー",,,,,,
,"昼食","そば飯",,"629KC","カツ丼",,"671KC","そぼろちらし寿司",,"756KC","カレーライス",,"865KC","チーズハンバーガー",,"328KC","七夕そうめん",,"347KC","菓子パン",,"541KC"," "
,,"ギョーザ",,"234KC","青梗菜としめじのごま和え",,"42KC","白和え",,"77KC","牛乳",,"134KC","ベーコンレタスバーガー",,"446KC","星のコロッケ",,"268KC","バナナ",,"77KC"," "
,,"果物",,"19KC","ヨーグルト",,"67KC","いかの天ぷら",,"121KC","福神漬",,"14KC","オレンジジュース",,"84KC","がんもと小松菜煮",,"69KC","牛乳",,"134KC"," "
,,"チーズサラダ",,"19KC","五目汁",,"63KC","れんこんのはさみ揚げ",,"131KC","棒チーズ",,"68KC","コールスロー",,"25KC","星型コーヒーゼリー",,"48KC","カレー汁",,"210KC"," "
,,"スープ",,"14KC"," ",,,"果物",,"19KC","生野菜",,"23KC","ハッシュポテト",,"132KC","ご飯",,"249KC"," ",,," "
,," ",,,,,,"すまし汁",,"24KC","ピーチゼリー",,"56KC","プリン",,"126KC"," ",,," ",,," "
,,"914KC た27 脂21 炭150 塩5.0",,,"843KC た36 脂31 炭99 塩5.4",,,"1128KC た42 脂26 炭175 塩5.7",,,"1159KC た34 脂25 炭194 塩3.5",,,"1141KC た43 脂48 炭137 塩4.5",,,"981KC た27 脂28 炭152 塩6.6",,,"962KC た29 脂38 炭128 塩3.9",,," "
,,,,,,,,,,,,,,,,,,,,,,,
,"夕食","鶏肉の七味焼",,"275KC","白身魚のエスカベッシュ",,"240KC","酢豚",,"289KC","鶏のごま揚げ",,"341KC","豚肉ソテー",,"218KC","鶏肉のさっぱり煮",,"368KC","ゆで豚のサラダ風",,"145KC"," "
,,"豆腐の野菜あん",,"66KC","ミートボールのクリーム煮",,"333KC","小松菜のザーサイ和え",,"45KC","炊き合わせ",,"115KC","韓国風春雨の炒めもの",,"194KC","ごぼうのごまマヨサラダ",,"81KC","麻婆なす",,"196KC"," "
,,"マカロニツナサラダ",,"151KC","カットサラダ",,"23KC","シュウマイ",,"97KC","もやしの中華和え",,"46KC","果物",,"12KC","果物",,"28KC","フルーツヨーグルト",,"110KC"," "
,,"味噌汁",,"24KC","味噌汁",,"50KC","フルーツポンチ",,"80KC","味噌汁",,"28KC","豆腐と卵のスープ",,"53KC","味噌汁",,"42KC","味噌汁",,"28KC"," "
,,"ご飯",,"427KC","ご飯",,"427KC","味噌汁",,"62KC","ご飯",,"427KC","ご飯",,"427KC","ご飯",,"427KC","ご飯",,"427KC"," "
,," ",,,,,,"ご飯",,"427KC"," ",,," ",,," ",,," ",,," "
,,"943KC た59 脂20 炭125 塩2.7",,,"1073KC た40 脂36 炭144 塩4.4",,,"1000KC た31 脂28 炭153 塩5.3",,,"957KC た56 脂24 炭124 塩4.2",,,"904KC た32 脂25 炭130 塩4.6",,,"946KC た57 脂19 炭130 塩3.3",,,"906KC た36 脂20 炭138 塩3.9",,," "
,"合計","2720KC た116 脂63 炭406 塩11.1",,,"2802KC た111 脂94 炭369 塩13.2",,,"2967KC た105 脂91 炭421 塩15.9",,,"2907KC た123 脂69 炭435 塩10.9",,,"2885KC た108 脂92 炭396 塩14.0",,,"2745KC た108 脂79 炭386 塩13.3",,,"2751KC た97 脂85 炭395 塩10.2",,," "
,,,,,,,,,,,,,,,,,,,,,,," "
